DATE,INDIGO,ICICI,Jet_Airways,SBI,TATA Chem,TATA Comm,HDFC,Bajaj Finance,KOTAK,Reliance
01-01-2019,1165.599976,363.75,280.799988,299.600006,705.299988,522.25,2009,2656.850098,1250.449951,1110.473877
02-01-2019,1161,364.600006,263.549988,293.899994,700.849976,521.349976,1980.650024,2614.050049,1240.599976,1096.010864
03-01-2019,1156.550049,363.25,247.199997,291.100006,694.450012,536,1936.849976,2586.199951,1235.25,1082.489136
04-01-2019,1143.199951,365.200012,245.199997,297.649994,698.450012,531.450012,1972.599976,2576.050049,1247.949951,1088.33374
07-01-2019,1113.75,367.700012,246.199997,296.299988,699.900024,528.849976,1972.900024,2553.600098,1246.599976,1094.376465
08-01-2019,1110.300049,380.149994,245.350006,305.299988,699.799988,527.599976,1958.949951,2537.050049,1228.900024,1094.277344
09-01-2019,1104.849976,382.25,244.199997,305.299988,697.150024,520.799988,1994.949951,2524.350098,1238.25,1100.320068
10-01-2019,1097,379.5,242.800003,305.549988,699.25,518.049988,1980.099976,2514.649902,1219.550049,1097.100586
11-01-2019,1057.449951,378.549988,253.649994,302.75,697.75,516.700012,1991.400024,2514.199951,1223.199951,1087.739258
14-01-2019,1081.650024,373.350006,294.450012,300.399994,693.049988,512.900024,1969.199951,2544.800049,1211.75,1086.501099
15-01-2019,1082.949951,372.75,293.700012,301.649994,695.349976,515.599976,1992.150024,2604.199951,1213.400024,1119.042603
16-01-2019,1136.550049,375.299988,269.700012,303.149994,694.900024,531.200012,1975,2569.850098,1202.75,1125.233887
17-01-2019,1112.900024,374.600006,285.299988,297.399994,693.099976,531.150024,2004.550049,2535.899902,1219.949951,1123.797485
18-01-2019,1076,372,281.200012,294.950012,693.700012,520.049988,2006.849976,2542.899902,1240.199951,1173.229004
21-01-2019,1062.949951,371.700012,276.200012,292.450012,688.049988,513.049988,2004.449951,2594.199951,1267.599976,1226.078003
22-01-2019,1120.650024,369.049988,272.350006,290.25,688.25,515.849976,1979.400024,2621.899902,1291.75,1223.552002
23-01-2019,1109.300049,367.399994,265.5,286.649994,681.25,515.150024,1958.25,2634.350098,1276.5,1214.785034
24-01-2019,1178.550049,364.799988,265.850006,288.049988,689.200012,521.599976,1971.099976,2635.649902,1267.75,1235.73645
25-01-2019,1161.75,357.200012,253.050003,285.399994,682.450012,493.149994,1977.800049,2599.550049,1266.150024,1234.300049
28-01-2019,1171.300049,343.549988,244.800003,281.600006,661.450012,500.399994,1946.900024,2458.5,1260.449951,1218.004517
29-01-2019,1184.650024,346.850006,243.100006,280.600006,667.099976,495,1922.300049,2515.550049,1251.400024,1199.281982
30-01-2019,1174.75,365.899994,242.449997,287.450012,680.299988,490.25,1885.800049,2595.5,1222.199951,1184.472412
31-01-2019,1187.800049,364.450012,238.050003,293.649994,674.299988,495.950012,1922.349976,2574.850098,1255.75,1215.627075
01-02-2019,1174.099976,354.649994,255.149994,284.399994,668,498.950012,1961.25,2628.399902,1255.699951,1238.213013
04-02-2019,1160.849976,354.549988,243.399994,283.950012,657.349976,494.700012,1978.5,2594.449951,1272.199951,1278.778442
05-02-2019,1174.400024,352.649994,236.199997,284.649994,645.700012,494.850006,1981.400024,2603.600098,1279.150024,1279.422363
06-02-2019,1197.050049,359.299988,236.850006,289.049988,594.400024,489.549988,1987.949951,2711.25,1279.5,1297.946777
07-02-2019,1203.949951,358.649994,236.600006,287.399994,598.099976,490.450012,1969.650024,2696.600098,1284.550049,1278.283203
08-02-2019,1195.099976,355.100006,225.949997,286,594.25,490.700012,1944.650024,2707.149902,1299.400024,1265.702393
11-02-2019,1187.050049,350.049988,214.100006,280.5,585.049988,482.299988,1948.199951,2657.199951,1301.550049,1241.481934
12-02-2019,1174.25,344.299988,221.149994,275.399994,569,484.549988,1905.050049,2621.800049,1298.650024,1244.602417
14-02-2019,1171.949951,343.950012,225.899994,267.100006,566.599976,496.899994,1900.699951,2609.199951,1286.800049,1212.704712
15-02-2019,1148.349976,342.149994,232.550003,262.950012,555.150024,496.350006,1874.900024,2561.100098,1283.650024,1232.764648
18-02-2019,1106.150024,338.75,232.300003,259.950012,554.849976,502.049988,1874.849976,2549.449951,1277.050049,1208.643311
